時刻,マイク (Logi USB Headset)
2023/02/12 05:14:06.783,-84
2023/02/12 05:14:06.922,-60.401172977847025
2023/02/12 05:14:07.061,-64.71102715317407
2023/02/12 05:14:07.200,-60.14285922382945
2023/02/12 05:14:07.341,-52.68319392831076
2023/02/12 05:14:07.467,-46.12559995161455
2023/02/12 05:14:07.592,-51.24126417538577
2023/02/12 05:14:07.718,-52.019303158687805
2023/02/12 05:14:07.844,-48.342880387518825
2023/02/12 05:14:07.984,-66.46804207425565
2023/02/12 05:14:08.122,-67.76303756991693
2023/02/12 05:14:08.261,-68.04453919656817
2023/02/12 05:14:08.400,-53.48972886302125
2023/02/12 05:14:08.539,-52.46148220793667
2023/02/12 05:14:08.680,-59.420280882106425
2023/02/12 05:14:08.804,-62.889851377341806
2023/02/12 05:14:08.930,-65.54676304801764
2023/02/12 05:14:09.069,-59.91763770563142
2023/02/12 05:14:09.194,-57.2375135988872
2023/02/12 05:14:09.334,-45.480844897206126
2023/02/12 05:14:09.459,-49.8159322531892
2023/02/12 05:14:09.584,-56.668732054727414
2023/02/12 05:14:09.724,-54.27213509279586
2023/02/12 05:14:09.863,-61.756095870050274
2023/02/12 05:14:10.001,-58.55955096440303
2023/02/12 05:14:10.140,-55.463985296163365
2023/02/12 05:14:10.281,-57.91744523045347
2023/02/12 05:14:10.422,-61.74195871471098
2023/02/12 05:14:10.561,-62.80896651844583
2023/02/12 05:14:10.702,-59.81307521708758
2023/02/12 05:14:10.841,-58.74302892841929
2023/02/12 05:14:10.983,-60.005720129553104
2023/02/12 05:14:11.123,-53.1547459596871
2023/02/12 05:14:11.264,-62.5554167030665
2023/02/12 05:14:11.388,-50.580296636515826
2023/02/12 05:14:11.528,-56.66641825371245
2023/02/12 05:14:11.667,-64.45003790935164
2023/02/12 05:14:11.793,-53.48232626657867
2023/02/12 05:14:11.933,-60.127633362625645
2023/02/12 05:14:12.073,-62.29028272840027
2023/02/12 05:14:12.214,-56.40173273138524
2023/02/12 05:14:12.340,-58.025859172312046
2023/02/12 05:14:12.464,-54.882210319933584
2023/02/12 05:14:12.604,-61.30668379416656
2023/02/12 05:14:12.743,-60.088518884013624
2023/02/12 05:14:12.884,-68.93449456912272
2023/02/12 05:14:13.024,-54.69484134424357
2023/02/12 05:14:13.164,-49.000990548392984
2023/02/12 05:14:13.289,-48.17227832914508
2023/02/12 05:14:13.429,-64.61743374147888
2023/02/12 05:14:13.569,-50.75403768028727
2023/02/12 05:14:13.707,-59.41351640738347
2023/02/12 05:14:13.847,-48.46734865855373
2023/02/12 05:14:13.985,-47.9651264288465
2023/02/12 05:14:14.126,-54.62933891159446
2023/02/12 05:14:14.268,-47.92442463809708
2023/02/12 05:14:14.393,-54.45022046425673
2023/02/12 05:14:14.520,-57.745283663712215
2023/02/12 05:14:14.661,-60.175275610573536
2023/02/12 05:14:14.786,-60.39711419073101
2023/02/12 05:14:14.926,-61.54292461275094
2023/02/12 05:14:15.066,-57.46035974492023
2023/02/12 05:14:15.206,-61.461454542304644
2023/02/12 05:14:15.332,-63.15055881522465
2023/02/12 05:14:15.458,-60.32226628070691
2023/02/12 05:14:15.583,-60.86883996144031
2023/02/12 05:14:15.710,-46.69245489167298
2023/02/12 05:14:15.847,-61.497832846700504
2023/02/12 05:14:15.986,-69.05603690030753
2023/02/12 05:14:16.124,-61.75554344759618
2023/02/12 05:14:16.264,-46.62172100072567
2023/02/12 05:14:16.388,-45.02017957349579
2023/02/12 05:14:16.527,-57.517951293768235
2023/02/12 05:14:16.667,-50.13470687816667
2023/02/12 05:14:16.792,-57.16436833858907
2023/02/12 05:14:16.918,-61.672162595952635
2023/02/12 05:14:17.044,-56.69672255216352
2023/02/12 05:14:17.183,-56.721596013765286
2023/02/12 05:14:17.324,-51.68435842470238
2023/02/12 05:14:17.463,-60.44495888930338
2023/02/12 05:14:17.588,-57.84822951045811
2023/02/12 05:14:17.713,-59.1104450968081
2023/02/12 05:14:17.840,-54.33684582104162
2023/02/12 05:14:17.968,-49.074760341953365
2023/02/12 05:14:18.106,-54.68407686863514
2023/02/12 05:14:18.231,-57.28527757315022
2023/02/12 05:14:18.370,-60.20958633566241
2023/02/12 05:14:18.513,-60.640124237102
2023/02/12 05:14:18.638,-56.56335596224394
2023/02/12 05:14:18.779,-49.75250056695772
2023/02/12 05:14:18.920,-45.04055318482103
2023/02/12 05:14:19.044,-54.16070882691461
2023/02/12 05:14:19.183,-54.56524894507501
2023/02/12 05:14:19.323,-59.597894183468654
2023/02/12 05:14:19.463,-63.71656010782896
2023/02/12 05:14:19.603,-61.22619529319728
2023/02/12 05:14:19.728,-64.03724792989284
