時刻,マイク (USB PnP Sound Device)
2023/02/12 05:21:16.781,-84
2023/02/12 05:21:16.924,-36.104505949241585
2023/02/12 05:21:17.064,-35.79908517285011
2023/02/12 05:21:17.190,-35.88478580843345
2023/02/12 05:21:17.314,-35.96456865729983
2023/02/12 05:21:17.441,-35.93939241580501
2023/02/12 05:21:17.582,-35.84304112650267
2023/02/12 05:21:17.722,-36.00178515370156
2023/02/12 05:21:17.861,-35.97189390138339
2023/02/12 05:21:18.001,-35.920463067379735
2023/02/12 05:21:18.141,-35.92167285133981
2023/02/12 05:21:18.281,-36.04675573779961
2023/02/12 05:21:18.407,-36.057863237434574
2023/02/12 05:21:18.533,-35.874529651857486
2023/02/12 05:21:18.675,-35.911861304235295
2023/02/12 05:21:18.815,-36.037105326921456
2023/02/12 05:21:18.954,-35.743508513042926
2023/02/12 05:21:19.094,-36.07886295696384
2023/02/12 05:21:19.233,-36.00616829443843
2023/02/12 05:21:19.375,-36.023920701788484
2023/02/12 05:21:19.516,-36.09763162732408
2023/02/12 05:21:19.641,-35.97937435549289
2023/02/12 05:21:19.782,-35.69754851428497
2023/02/12 05:21:19.923,-35.627566076231474
2023/02/12 05:21:20.064,-35.72360234870568
2023/02/12 05:21:20.190,-35.80687007092469
2023/02/12 05:21:20.315,-35.67268173348738
2023/02/12 05:21:20.440,-35.677641923708066
2023/02/12 05:21:20.579,-35.56313773398252
2023/02/12 05:21:20.720,-35.98386948605454
2023/02/12 05:21:20.860,-35.94527751006954
2023/02/12 05:21:20.999,-36.00082546034712
2023/02/12 05:21:21.142,-35.822475724565074
2023/02/12 05:21:21.281,-35.931115450949726
2023/02/12 05:21:21.422,-35.62308002666036
2023/02/12 05:21:21.548,-35.93495037353163
2023/02/12 05:21:21.673,-35.97001899416635
2023/02/12 05:21:21.814,-35.93612301338816
2023/02/12 05:21:21.952,-35.84040888244064
2023/02/12 05:21:22.092,-36.312325654942825
2023/02/12 05:21:22.233,-36.09277340680415
2023/02/12 05:21:22.372,-36.16467339081408
2023/02/12 05:21:22.512,-35.97982882775382
2023/02/12 05:21:22.651,-35.97702164983951
2023/02/12 05:21:22.792,-35.79484365024131
2023/02/12 05:21:22.934,-35.92343351181772
2023/02/12 05:21:23.077,-35.89278191329688
2023/02/12 05:21:23.216,-35.934555527460496
2023/02/12 05:21:23.344,-36.030441811266094
2023/02/12 05:21:23.481,-35.72784965933592
2023/02/12 05:21:23.623,-35.896642824616976
2023/02/12 05:21:23.765,-36.0539893975559
2023/02/12 05:21:23.904,-36.04833842535806
2023/02/12 05:21:24.043,-35.98768105016883
2023/02/12 05:21:24.182,-35.81666960805213
2023/02/12 05:21:24.323,-35.832484624874354
2023/02/12 05:21:24.464,-36.25204976020949
2023/02/12 05:21:24.590,-36.0249069369272
2023/02/12 05:21:24.732,-35.80720102114819
2023/02/12 05:21:24.871,-35.93677327853206
2023/02/12 05:21:25.013,-36.152178572397375
2023/02/12 05:21:25.151,-35.91318866287737
2023/02/12 05:21:25.289,-35.76413608164943
2023/02/12 05:21:25.414,-35.76774830320706
2023/02/12 05:21:25.540,-35.58992939411278
2023/02/12 05:21:25.666,-36.01091429036232
2023/02/12 05:21:25.805,-36.09581002030043
2023/02/12 05:21:25.943,-35.97958127924433
2023/02/12 05:21:26.085,-34.9993477288406
2023/02/12 05:21:26.210,-36.07811322293497
2023/02/12 05:21:26.349,-36.088253852845455
2023/02/12 05:21:26.475,-36.01610300996264
2023/02/12 05:21:26.616,-35.8988054160957
2023/02/12 05:21:26.755,-35.95043369668144
2023/02/12 05:21:26.895,-35.73854912623878
2023/02/12 05:21:27.032,-36.14997866487931
2023/02/12 05:21:27.171,-35.905729266252294
2023/02/12 05:21:27.310,-35.68130388798785
2023/02/12 05:21:27.451,-35.818455777988454
2023/02/12 05:21:27.590,-35.92903171206047
2023/02/12 05:21:27.730,-35.82742568234349
2023/02/12 05:21:27.871,-36.00766168972944
2023/02/12 05:21:28.013,-35.89904190408673
2023/02/12 05:21:28.152,-35.81350446040491
2023/02/12 05:21:28.296,-35.81253984655563
2023/02/12 05:21:28.434,-35.84934585851794
2023/02/12 05:21:28.575,-36.303945341532796
2023/02/12 05:21:28.715,-35.9499212615965
2023/02/12 05:21:28.855,-36.0137042774671
2023/02/12 05:21:28.980,-35.95078537091958
2023/02/12 05:21:29.120,-35.85353805560291
2023/02/12 05:21:29.262,-36.037186998908126
2023/02/12 05:21:29.386,-36.0159905575665
2023/02/12 05:21:29.527,-35.925734592073304
2023/02/12 05:21:29.669,-36.02361026131843
2023/02/12 05:21:29.807,-35.82530939369322
