時刻,マイク (Realtek USB2.0 Audio)
2023/02/12 05:28:11.645,-84
2023/02/12 05:28:11.775,-55.90205271056688
2023/02/12 05:28:11.916,-58.01119060219076
2023/02/12 05:28:12.040,-50.39074617089844
2023/02/12 05:28:12.181,-58.180170684781956
2023/02/12 05:28:12.307,-68.4424695309014
2023/02/12 05:28:12.449,-58.62691485509561
2023/02/12 05:28:12.590,-64.54988756331566
2023/02/12 05:28:12.729,-41.60030479473674
2023/02/12 05:28:12.868,-32.24962044927737
2023/02/12 05:28:12.994,-35.79017059036536
2023/02/12 05:28:13.134,-31.054524535621518
2023/02/12 05:28:13.259,-47.14749000811844
2023/02/12 05:28:13.399,-48.017460198481004
2023/02/12 05:28:13.538,-41.83415076284501
2023/02/12 05:28:13.663,-41.906438048677856
2023/02/12 05:28:13.801,-49.622347099309096
2023/02/12 05:28:13.927,-33.490572693727295
2023/02/12 05:28:14.081,-68.13184287177987
2023/02/12 05:28:14.220,-45.65225965770426
2023/02/12 05:28:14.347,-48.42755559787829
2023/02/12 05:28:14.486,-36.45274674733514
2023/02/12 05:28:14.627,-52.43897189822886
2023/02/12 05:28:14.752,-28.128406518876858
2023/02/12 05:28:14.891,-46.07810924137887
2023/02/12 05:28:15.016,-46.07810924137887
2023/02/12 05:28:15.158,-51.4157658264232
2023/02/12 05:28:15.297,-61.121506186468224
2023/02/12 05:28:15.423,-35.096597591643096
2023/02/12 05:28:15.562,-40.385208262923655
2023/02/12 05:28:15.688,-44.96098069463354
2023/02/12 05:28:15.829,-47.83350796862259
2023/02/12 05:28:15.969,-36.7677642761935
2023/02/12 05:28:16.107,-57.88557719307575
2023/02/12 05:28:16.249,-31.15045624784086
2023/02/12 05:28:16.391,-50.258867545286336
2023/02/12 05:28:16.517,-50.258867545286336
2023/02/12 05:28:16.658,-33.20821980666034
2023/02/12 05:28:16.784,-34.672228197173936
2023/02/12 05:28:16.924,-36.910519893892086
2023/02/12 05:28:17.064,-51.56640177211145
2023/02/12 05:28:17.205,-36.83113119416437
2023/02/12 05:28:17.344,-49.7007051199748
2023/02/12 05:28:17.484,-32.7263309969736
2023/02/12 05:28:17.609,-36.795707483866494
2023/02/12 05:28:17.750,-46.14958683493054
2023/02/12 05:28:17.891,-50.179755224833
2023/02/12 05:28:18.029,-54.527249009048326
2023/02/12 05:28:18.155,-60.62700531270095
2023/02/12 05:28:18.280,-56.43970404874103
2023/02/12 05:28:18.405,-55.92774715158843
2023/02/12 05:28:18.532,-55.065004934282165
2023/02/12 05:28:18.658,-36.117500636564
2023/02/12 05:28:18.783,-35.88264764988186
2023/02/12 05:28:18.923,-30.108133144879076
2023/02/12 05:28:19.063,-40.535071298414316
2023/02/12 05:28:19.188,-41.216281743794205
2023/02/12 05:28:19.327,-51.186111289350045
2023/02/12 05:28:19.454,-57.46275488832157
2023/02/12 05:28:19.594,-64.03390095055705
2023/02/12 05:28:19.734,-57.628955271724124
2023/02/12 05:28:19.876,-58.62745215698652
2023/02/12 05:28:20.001,-59.14047638443958
2023/02/12 05:28:20.142,-66.89523297976048
2023/02/12 05:28:20.281,-55.38555141372541
2023/02/12 05:28:20.419,-57.406286117838555
2023/02/12 05:28:20.544,-58.28189570342466
2023/02/12 05:28:20.670,-59.51155646419544
2023/02/12 05:28:20.810,-55.97235266931925
2023/02/12 05:28:20.953,-54.17482568979469
2023/02/12 05:28:21.093,-55.00419339453403
2023/02/12 05:28:21.232,-64.27058866126488
2023/02/12 05:28:21.372,-60.38462549024719
2023/02/12 05:28:21.497,-64.83053396853228
2023/02/12 05:28:21.636,-55.82555841465606
2023/02/12 05:28:21.775,-66.58083648544728
2023/02/12 05:28:21.915,-57.36653719716926
2023/02/12 05:28:22.040,-56.177013326625726
2023/02/12 05:28:22.164,-60.46697800428599
2023/02/12 05:28:22.291,-37.38307958237639
2023/02/12 05:28:22.429,-30.989143899420487
2023/02/12 05:28:22.568,-49.537814790813485
2023/02/12 05:28:22.693,-42.641857765109805
2023/02/12 05:28:22.832,-60.25129067316791
2023/02/12 05:28:22.973,-58.68413023864353
2023/02/12 05:28:23.112,-70.3093041264378
2023/02/12 05:28:23.249,-66.97934137548724
2023/02/12 05:28:23.374,-61.01538503156387
2023/02/12 05:28:23.512,-56.92631195085141
2023/02/12 05:28:23.651,-57.52547141369153
2023/02/12 05:28:23.777,-62.819895695068524
2023/02/12 05:28:23.903,-56.7447197959479
2023/02/12 05:28:24.043,-66.27755130966618
2023/02/12 05:28:24.180,-54.60354950785585
2023/02/12 05:28:24.308,-53.405214493734086
2023/02/12 05:28:24.449,-52.136420843869786
2023/02/12 05:28:24.588,-60.41756116179624
