時刻,ヘッドセット マイク (Jabra EVOLVE 20 SE MS)
2023/02/12 05:32:41.016,-84
2023/02/12 05:32:41.153,-60.64555460184885
2023/02/12 05:32:41.294,-52.09071240016443
2023/02/12 05:32:41.420,-52.44874393524344
2023/02/12 05:32:41.558,-62.49855427552405
2023/02/12 05:32:41.700,-62.498353714997556
2023/02/12 05:32:41.826,-62.58651939347924
2023/02/12 05:32:41.966,-62.14185347491235
2023/02/12 05:32:42.092,-62.13137439915427
2023/02/12 05:32:42.217,-61.714530581874094
2023/02/12 05:32:42.343,-54.096414114360115
2023/02/12 05:32:42.468,-53.13558264946191
2023/02/12 05:32:42.594,-61.043541807133565
2023/02/12 05:32:42.719,-62.09760268610529
2023/02/12 05:32:42.844,-62.73869400921872
2023/02/12 05:32:42.969,-62.15659636532649
2023/02/12 05:32:43.095,-52.13626221573016
2023/02/12 05:32:43.222,-52.45290787996231
2023/02/12 05:32:43.361,-53.65753583570555
2023/02/12 05:32:43.503,-62.53886640957958
2023/02/12 05:32:43.640,-62.18960324615874
2023/02/12 05:32:43.780,-62.32484927900805
2023/02/12 05:32:43.918,-62.27200418791476
2023/02/12 05:32:44.042,-62.423590205195694
2023/02/12 05:32:44.181,-62.311707564519516
2023/02/12 05:32:44.308,-52.25189273272179
2023/02/12 05:32:44.451,-52.393484912139314
2023/02/12 05:32:44.576,-52.31941287596902
2023/02/12 05:32:44.717,-52.129917964591606
2023/02/12 05:32:44.843,-52.468952476608344
2023/02/12 05:32:44.982,-52.34112369080243
2023/02/12 05:32:45.120,-52.97436577879064
2023/02/12 05:32:45.260,-62.55255099101173
2023/02/12 05:32:45.387,-62.29842932640683
2023/02/12 05:32:45.526,-62.12855192631848
2023/02/12 05:32:45.666,-62.97161664592806
2023/02/12 05:32:45.809,-52.23411379716709
2023/02/12 05:32:45.949,-52.6791356028901
2023/02/12 05:32:46.086,-52.600658253658075
2023/02/12 05:32:46.225,-51.98030801310438
2023/02/12 05:32:46.379,-62.65482874759752
2023/02/12 05:32:46.518,-62.46909216975879
2023/02/12 05:32:46.644,-53.04692948449272
2023/02/12 05:32:46.769,-52.39801066372026
2023/02/12 05:32:46.909,-52.172506702976456
2023/02/12 05:32:47.048,-52.006035154830656
2023/02/12 05:32:47.173,-52.486078080029266
2023/02/12 05:32:47.298,-52.2982130446136
2023/02/12 05:32:47.438,-52.31992566117618
2023/02/12 05:32:47.564,-61.12135540554539
2023/02/12 05:32:47.703,-63.498121717990486
2023/02/12 05:32:47.828,-62.31488730449848
2023/02/12 05:32:47.968,-61.154248802189926
2023/02/12 05:32:48.108,-59.80726324224527
2023/02/12 05:32:48.248,-62.41077947851422
2023/02/12 05:32:48.375,-59.49510515393812
2023/02/12 05:32:48.516,-62.64349442216399
2023/02/12 05:32:48.654,-62.277173085037695
2023/02/12 05:32:48.793,-62.1363404822564
2023/02/12 05:32:48.919,-62.47260202582691
2023/02/12 05:32:49.045,-62.65431650122859
2023/02/12 05:32:49.186,-62.48480455243318
2023/02/12 05:32:49.326,-52.31801994442746
2023/02/12 05:32:49.466,-52.85833966454814
2023/02/12 05:32:49.591,-52.96351576477108
2023/02/12 05:32:49.730,-52.59790385464183
2023/02/12 05:32:49.856,-52.34914380448398
2023/02/12 05:32:49.996,-53.47297629506166
2023/02/12 05:32:50.121,-52.206040589958306
2023/02/12 05:32:50.262,-57.62333628793079
2023/02/12 05:32:50.401,-58.21999047517755
2023/02/12 05:32:50.527,-62.40947780436423
2023/02/12 05:32:50.667,-62.33819109452702
2023/02/12 05:32:50.793,-62.37822061392165
2023/02/12 05:32:50.933,-62.26641267907109
2023/02/12 05:32:51.058,-62.579179954006264
2023/02/12 05:32:51.198,-52.32856331039085
2023/02/12 05:32:51.322,-60.000848967051574
2023/02/12 05:32:51.463,-62.08608558715709
2023/02/12 05:32:51.603,-61.791953904843
2023/02/12 05:32:51.742,-53.04358217705868
2023/02/12 05:32:51.868,-51.736543719691284
2023/02/12 05:32:51.995,-52.65053344051366
2023/02/12 05:32:52.135,-59.82076937104939
2023/02/12 05:32:52.275,-62.645764661626544
2023/02/12 05:32:52.415,-62.10075840357647
2023/02/12 05:32:52.556,-52.503862648717046
2023/02/12 05:32:52.694,-52.32620981960253
2023/02/12 05:32:52.834,-62.451303819158205
2023/02/12 05:32:52.975,-62.26951233068287
2023/02/12 05:32:53.115,-62.500055158749745
2023/02/12 05:32:53.240,-62.41224046817632
2023/02/12 05:32:53.365,-62.58164300680274
2023/02/12 05:32:53.504,-62.28400622471524
2023/02/12 05:32:53.630,-52.596885670356706
2023/02/12 05:32:53.757,-51.6402799989606
2023/02/12 05:32:53.882,-52.97142244708438
2023/02/12 05:32:54.023,-52.20513544145267
