時刻,Microphone (Jabra Evolve2 30)
2023/02/12 05:36:22.380,-84
2023/02/12 05:36:22.510,-84
2023/02/12 05:36:22.636,-84
2023/02/12 05:36:22.762,-84
2023/02/12 05:36:22.887,-74.86828348650133
2023/02/12 05:36:23.027,-63.53763216931468
2023/02/12 05:36:23.166,-82.16872937931734
2023/02/12 05:36:23.306,-72.98389833138016
2023/02/12 05:36:23.431,-79.59904011342763
2023/02/12 05:36:23.571,-84
2023/02/12 05:36:23.710,-84
2023/02/12 05:36:23.835,-84
2023/02/12 05:36:23.974,-80.92903135359
2023/02/12 05:36:24.114,-77.0078716898611
2023/02/12 05:36:24.240,-79.81624875941066
2023/02/12 05:36:24.366,-84
2023/02/12 05:36:24.491,-84
2023/02/12 05:36:24.632,-84
2023/02/12 05:36:24.770,-73.23245333152293
2023/02/12 05:36:24.897,-78.84149602835717
2023/02/12 05:36:25.036,-79.72387844633613
2023/02/12 05:36:25.175,-78.10473463392208
2023/02/12 05:36:25.301,-81.53669961504536
2023/02/12 05:36:25.440,-84
2023/02/12 05:36:25.579,-84
2023/02/12 05:36:25.719,-84
2023/02/12 05:36:25.861,-84
2023/02/12 05:36:25.986,-84
2023/02/12 05:36:26.126,-84
2023/02/12 05:36:26.266,-84
2023/02/12 05:36:26.390,-84
2023/02/12 05:36:26.531,-77.2358594876132
2023/02/12 05:36:26.656,-74.70857924193302
2023/02/12 05:36:26.796,-78.12580524939355
2023/02/12 05:36:26.923,-84
2023/02/12 05:36:27.063,-72.57771919305196
2023/02/12 05:36:27.189,-74.35174066842704
2023/02/12 05:36:27.327,-84
2023/02/12 05:36:27.466,-84
2023/02/12 05:36:27.605,-83.73401007692817
2023/02/12 05:36:27.745,-84
2023/02/12 05:36:27.884,-77.74601928643858
2023/02/12 05:36:28.024,-81.60525617533523
2023/02/12 05:36:28.165,-84
2023/02/12 05:36:28.306,-84
2023/02/12 05:36:28.431,-78.89222206542078
2023/02/12 05:36:28.572,-84
2023/02/12 05:36:28.712,-83.30409046469816
2023/02/12 05:36:28.836,-84
2023/02/12 05:36:28.974,-52.079492785989274
2023/02/12 05:36:29.113,-78.25287848306151
2023/02/12 05:36:29.253,-80.38242383478217
2023/02/12 05:36:29.379,-84
2023/02/12 05:36:29.504,-79.35134814007577
2023/02/12 05:36:29.630,-76.9253784985809
2023/02/12 05:36:29.757,-64.20668302581346
2023/02/12 05:36:29.883,-74.5431056505418
2023/02/12 05:36:30.023,-80.26441045361815
2023/02/12 05:36:30.160,-84
2023/02/12 05:36:30.298,-81.37018156606047
2023/02/12 05:36:30.425,-76.09238391217778
2023/02/12 05:36:30.564,-83.23019060136467
2023/02/12 05:36:30.690,-84
2023/02/12 05:36:30.818,-80.47182909432121
2023/02/12 05:36:30.946,-83.62684110467544
2023/02/12 05:36:31.084,-64.90540862636041
2023/02/12 05:36:31.210,-82.0510317049343
2023/02/12 05:36:31.336,-84
2023/02/12 05:36:31.477,-60.645096946598144
2023/02/12 05:36:31.603,-68.53450420520603
2023/02/12 05:36:31.742,-75.9781771775757
2023/02/12 05:36:31.881,-63.62555776199686
2023/02/12 05:36:32.022,-79.78663120488984
2023/02/12 05:36:32.164,-79.56757757456334
2023/02/12 05:36:32.290,-84
2023/02/12 05:36:32.415,-84
2023/02/12 05:36:32.540,-84
2023/02/12 05:36:32.666,-84
2023/02/12 05:36:32.792,-75.21916629843606
2023/02/12 05:36:32.930,-84
2023/02/12 05:36:33.057,-78.8562332465491
2023/02/12 05:36:33.182,-84
2023/02/12 05:36:33.321,-74.16448489973463
2023/02/12 05:36:33.461,-84
2023/02/12 05:36:33.587,-82.41060075077364
2023/02/12 05:36:33.727,-80.38347807774082
2023/02/12 05:36:33.867,-78.35909139418688
2023/02/12 05:36:33.991,-84
2023/02/12 05:36:34.132,-84
2023/02/12 05:36:34.258,-84
2023/02/12 05:36:34.383,-71.88145757634958
2023/02/12 05:36:34.523,-78.45953553767227
2023/02/12 05:36:34.663,-73.95225924134037
2023/02/12 05:36:34.803,-77.281424306045
2023/02/12 05:36:34.943,-84
2023/02/12 05:36:35.085,-84
2023/02/12 05:36:35.225,-84
2023/02/12 05:36:35.365,-84
