時刻,マイク (Recon Air)
2023/02/12 05:56:51.285,-84
2023/02/12 05:56:51.430,-75.02308762239268
2023/02/12 05:56:51.557,-75.5012483480347
2023/02/12 05:56:51.682,-74.48663040750611
2023/02/12 05:56:51.822,-73.8372885750694
2023/02/12 05:56:51.947,-68.63628844990762
2023/02/12 05:56:52.086,-64.72101778405164
2023/02/12 05:56:52.225,-62.77301867308793
2023/02/12 05:56:52.366,-69.10863079957282
2023/02/12 05:56:52.494,-64.60157807790024
2023/02/12 05:56:52.620,-72.68159601514897
2023/02/12 05:56:52.760,-75.10358298099747
2023/02/12 05:56:52.900,-77.37781564650268
2023/02/12 05:56:53.040,-65.92265691358125
2023/02/12 05:56:53.178,-71.59995662337562
2023/02/12 05:56:53.317,-76.1599094023739
2023/02/12 05:56:53.444,-77.1553601847844
2023/02/12 05:56:53.584,-74.0705243033899
2023/02/12 05:56:53.725,-70.50973908740418
2023/02/12 05:56:53.852,-66.68439816935573
2023/02/12 05:56:53.993,-60.15358810076041
2023/02/12 05:56:54.131,-66.68830262833234
2023/02/12 05:56:54.271,-68.91524787180401
2023/02/12 05:56:54.396,-68.81949972473356
2023/02/12 05:56:54.522,-70.05501770731176
2023/02/12 05:56:54.646,-74.11606203184701
2023/02/12 05:56:54.786,-76.93101788360349
2023/02/12 05:56:54.926,-75.62673583716872
2023/02/12 05:56:55.053,-70.38427807532148
2023/02/12 05:56:55.181,-78.34529056677768
2023/02/12 05:56:55.318,-75.82838704346312
2023/02/12 05:56:55.457,-64.96530131318863
2023/02/12 05:56:55.596,-68.18269386499045
2023/02/12 05:56:55.721,-70.16970059876469
2023/02/12 05:56:55.845,-67.25444099280134
2023/02/12 05:56:55.985,-64.3065161046508
2023/02/12 05:56:56.126,-72.77461169918601
2023/02/12 05:56:56.266,-75.95980714990085
2023/02/12 05:56:56.406,-74.673948197167
2023/02/12 05:56:56.533,-74.73419327684455
2023/02/12 05:56:56.673,-71.95093464401917
2023/02/12 05:56:56.798,-66.99820893163852
2023/02/12 05:56:56.924,-66.47724552194718
2023/02/12 05:56:57.063,-74.34328214411107
2023/02/12 05:56:57.203,-75.2701451112559
2023/02/12 05:56:57.343,-75.52242591829506
2023/02/12 05:56:57.483,-77.36143953505557
2023/02/12 05:56:57.609,-75.76332008951839
2023/02/12 05:56:57.748,-75.29272007005974
2023/02/12 05:56:57.873,-61.00961591180245
2023/02/12 05:56:57.998,-60.37045949127634
2023/02/12 05:56:58.138,-59.3996620894542
2023/02/12 05:56:58.278,-71.24948986391092
2023/02/12 05:56:58.419,-68.18495929716502
2023/02/12 05:56:58.543,-62.7237855310692
2023/02/12 05:56:58.669,-62.83864847492815
2023/02/12 05:56:58.807,-69.96718371382349
2023/02/12 05:56:58.946,-60.40711752932333
2023/02/12 05:56:59.086,-72.7983510278477
2023/02/12 05:56:59.226,-71.46474995821885
2023/02/12 05:56:59.353,-73.76857324208471
2023/02/12 05:56:59.491,-75.94672274370309
2023/02/12 05:56:59.629,-75.10220540074445
2023/02/12 05:56:59.769,-68.94176013340955
2023/02/12 05:56:59.894,-70.21453560024108
2023/02/12 05:57:00.033,-75.60742524102214
2023/02/12 05:57:00.173,-77.07634387030814
2023/02/12 05:57:00.297,-72.04650452408364
2023/02/12 05:57:00.438,-59.60646909812836
2023/02/12 05:57:00.592,-58.60909777710556
2023/02/12 05:57:00.733,-67.71066507735205
2023/02/12 05:57:00.873,-54.02567920262466
2023/02/12 05:57:01.014,-64.79186691291386
2023/02/12 05:57:01.154,-66.72147390344507
2023/02/12 05:57:01.293,-71.09876228496779
2023/02/12 05:57:01.433,-76.40667250172329
2023/02/12 05:57:01.558,-76.36357658788123
2023/02/12 05:57:01.684,-69.28708650794324
2023/02/12 05:57:01.824,-69.02725215309317
2023/02/12 05:57:01.966,-73.3269906800845
2023/02/12 05:57:02.104,-76.23445427238156
2023/02/12 05:57:02.228,-66.1530980621403
2023/02/12 05:57:02.369,-75.32938873332546
2023/02/12 05:57:02.493,-74.37065450706577
2023/02/12 05:57:02.634,-73.52791114014269
2023/02/12 05:57:02.774,-63.476927215987935
2023/02/12 05:57:02.914,-74.36254389472565
2023/02/12 05:57:03.041,-77.55820606694604
2023/02/12 05:57:03.183,-61.66136366409972
2023/02/12 05:57:03.309,-57.48218761152088
2023/02/12 05:57:03.435,-66.99391442686614
2023/02/12 05:57:03.574,-64.30263131591404
2023/02/12 05:57:03.712,-61.56482550245481
2023/02/12 05:57:03.851,-76.03514469451726
2023/02/12 05:57:03.991,-77.12505016961428
2023/02/12 05:57:04.129,-76.63670804371958
2023/02/12 05:57:04.271,-77.29908828323727
