時刻,マイク (Anker Soundsync),CABLE Output (VB-Audio Virtual Cable),マイク (HD Pro Webcam C920),マイク (Sound Blaster Play! 4)
2023/02/10 01:59:39.659,-84,-84,-84,-84
2023/02/10 01:59:39.791,-84,-84,-44.41590436606927,-84
2023/02/10 01:59:39.930,-84,-84,-36.981596214763485,-84
2023/02/10 01:59:40.068,-84,-84,-42.68810915270169,-84
2023/02/10 01:59:40.207,-84,-84,-38.920904152478386,-84
2023/02/10 01:59:40.361,-84,-84,-36.90521497254952,-84
2023/02/10 01:59:40.501,-84,-84,-38.71671675920804,-84
2023/02/10 01:59:40.626,-84,-84,-40.45633161783101,-84
2023/02/10 01:59:40.765,-84,-84,-40.456023805300404,-84
2023/02/10 01:59:40.903,-84,-84,-38.83501793464722,-84
2023/02/10 01:59:41.042,-84,-84,-36.27183758508443,-84
2023/02/10 01:59:41.168,-84,-84,-41.99933826986998,-84
2023/02/10 01:59:41.310,-84,-84,-38.167160309372775,-84
2023/02/10 01:59:41.435,-84,-84,-38.75225368983289,-84
2023/02/10 01:59:41.560,-84,-84,-39.10002402561242,-84
2023/02/10 01:59:41.700,-84,-84,-41.93997521841118,-84
2023/02/10 01:59:41.840,-84,-84,-39.41004016378246,-84
2023/02/10 01:59:41.980,-84,-84,-38.16302740495336,-84
2023/02/10 01:59:42.120,-84,-84,-41.64903554531702,-84
2023/02/10 01:59:42.261,-84,-84,-40.94587301192937,-84
2023/02/10 01:59:42.386,-84,-84,-36.239484279710894,-84
2023/02/10 01:59:42.524,-84,-84,-39.06736051563619,-84
2023/02/10 01:59:42.650,-84,-84,-38.48177352323605,-84
2023/02/10 01:59:42.791,-84,-84,-37.836369397489946,-84
2023/02/10 01:59:42.931,-84,-84,-44.798613186521564,-84
2023/02/10 01:59:43.073,-84,-84,-41.49425206976561,-84
2023/02/10 01:59:43.210,-84,-84,-36.64230788961505,-84
2023/02/10 01:59:43.337,-84,-84,-41.27113242555861,-84
2023/02/10 01:59:43.476,-84,-84,-35.123031666126444,-84
2023/02/10 01:59:43.614,-84,-84,-39.76512396608682,-84
2023/02/10 01:59:43.738,-84,-84,-42.36726677636587,-84
2023/02/10 01:59:43.877,-84,-84,-37.123887280748775,-84
2023/02/10 01:59:44.014,-84,-84,-40.1488525759667,-84
2023/02/10 01:59:44.154,-84,-84,-38.757883844525225,-84
2023/02/10 01:59:44.292,-84,-84,-40.55098997982773,-84
2023/02/10 01:59:44.418,-84,-84,-40.40857537518727,-84
2023/02/10 01:59:44.558,-84,-84,-37.465909674373734,-84
2023/02/10 01:59:44.696,-84,-84,-44.463038787173765,-84
2023/02/10 01:59:44.837,-84,-84,-37.567189602400255,-84
2023/02/10 01:59:44.961,-84,-84,-35.93116090163132,-84
2023/02/10 01:59:45.101,-84,-84,-40.09792501484397,-84
2023/02/10 01:59:45.240,-84,-84,-35.98853462205622,-84
2023/02/10 01:59:45.379,-84,-84,-42.07295381216415,-84
2023/02/10 01:59:45.518,-84,-84,-37.95061953039825,-84
2023/02/10 01:59:45.658,-84,-84,-39.307070224777846,-84
2023/02/10 01:59:45.785,-84,-84,-38.34690695872419,-84
2023/02/10 01:59:48.606,-84,-84,-41.61316351764975,-84
