時刻,Microphone (Jabra Engage 50 II),Microphone (HD Pro Webcam C920),CABLE Output (VB-Audio Virtual Cable)
2023/02/17 07:09:49.905,-84,-84,-84
2023/02/17 07:09:50.046,-84,-84,-84
2023/02/17 07:09:50.185,-34.75436929124007,-29.973330746514158,-84
2023/02/17 07:09:50.327,-51.02148798192803,-31.28115520154012,-84
2023/02/17 07:09:50.467,-47.33712208437977,-28.388899645470055,-84
2023/02/17 07:09:50.592,-58.12839234281094,-29.206409894270266,-84
2023/02/17 07:09:50.732,-54.801531239775414,-26.02868369228385,-84
2023/02/17 07:09:50.871,-62.28893073513041,-33.91151015601327,-84
2023/02/17 07:09:51.009,-55.02590584621481,-28.884315445696682,-84
2023/02/17 07:09:51.149,-62.17909384247598,-29.323249768722036,-84
2023/02/17 07:09:51.288,-61.672325379654886,-32.92915954211375,-84
2023/02/17 07:09:51.415,-63.11918779291961,-30.143059486326507,-84
2023/02/17 07:09:51.555,-60.83609435350317,-27.16267209918239,-84
2023/02/17 07:09:51.680,-60.12894951934389,-27.0673931874833,-84
2023/02/17 07:09:51.822,-56.36307908072997,-21.71248236473991,-84
2023/02/17 07:09:51.962,-56.109243108808684,-26.247728965030795,-84
2023/02/17 07:09:52.101,-56.95151215558718,-27.6627381472143,-84
2023/02/17 07:09:52.225,-62.48775335475869,-32.60152617780758,-84
2023/02/17 07:09:52.352,-58.36115109393294,-32.06466240211756,-84
2023/02/17 07:09:52.491,-60.46830693931071,-29.31949650492401,-84
2023/02/17 07:09:52.632,-56.48538342627222,-27.706803047051384,-84
2023/02/17 07:09:52.757,-64.53943162552144,-30.845616202456817,-84
2023/02/17 07:09:52.897,-59.90381468702601,-34.93299443312718,-84
2023/02/17 07:09:53.036,-61.56284681896413,-29.55386429738769,-84
2023/02/17 07:09:53.175,-60.60364171138118,-32.10076113595722,-84
2023/02/17 07:09:53.301,-55.37274912538747,-32.51805556764418,-84
2023/02/17 07:09:53.426,-62.87314949360741,-33.22754440477949,-84
2023/02/17 07:09:53.564,-53.86080997355582,-30.74289254738353,-84
2023/02/17 07:09:53.701,-56.110524585195535,-24.65088230957234,-84
2023/02/17 07:09:53.841,-55.46371069054039,-25.10353047763583,-84
2023/02/17 07:09:53.966,-57.88400977053495,-23.379763011414916,-84
2023/02/17 07:09:54.090,-59.75358473618036,-29.54524911380862,-84
2023/02/17 07:09:54.229,-56.49436972583526,-31.11879259706089,-84
2023/02/17 07:09:54.369,-60.66663988607631,-27.832537324861555,-84
2023/02/17 07:09:54.508,-57.63157982239797,-27.45862602424512,-84
2023/02/17 07:09:54.634,-57.67913403009365,-26.773019758635858,-84
2023/02/17 07:09:54.774,-63.30567637154101,-29.176381850846038,-84
2023/02/17 07:09:54.914,-62.044181217090895,-32.24448800839265,-84
2023/02/17 07:09:55.054,-56.04911564515814,-23.78085181718891,-84
2023/02/17 07:09:55.193,-54.802552218325985,-23.86565215041532,-84
2023/02/17 07:09:55.333,-56.02814253677786,-21.06000626556423,-84
2023/02/17 07:09:55.472,-54.48709282388164,-22.21852926166346,-84
2023/02/17 07:09:55.597,-55.715183032411005,-29.366119295566534,-84
2023/02/17 07:09:55.723,-53.46046411348462,-26.66936828876816,-84
2023/02/17 07:09:55.848,-53.56711100397707,-28.85718986175696,-84
2023/02/17 07:09:55.988,-54.150618570617404,-26.444639162584373,-84
2023/02/17 07:09:56.128,-54.714369070588646,-29.2020563437275,-84
2023/02/17 07:09:56.269,-53.65995691648409,-30.282711357859956,-84
2023/02/17 07:09:56.395,-62.00822937543971,-29.877846728724236,-84
2023/02/17 07:09:56.535,-62.192102038551845,-36.100558987253116,-84
2023/02/17 07:09:56.674,-58.80793850105732,-29.264604464403348,-84
2023/02/17 07:09:56.800,-55.311169770551615,-27.52491708944572,-84
2023/02/17 07:09:56.940,-51.550544896325626,-22.154697880360796,-84
2023/02/17 07:09:57.081,-51.56805454517742,-21.597449969048313,-84
2023/02/17 07:09:57.206,-51.597322546120054,-23.1292165596089,-84
2023/02/17 07:09:57.331,-55.03580529646677,-27.34372085589632,-84
2023/02/17 07:09:57.492,-52.98164950750406,-30.958993441408666,-84
2023/02/17 07:09:57.629,-59.07028780417675,-26.965478112206995,-84
2023/02/17 07:09:57.769,-59.51334096911317,-34.100108112637585,-84
2023/02/17 07:09:57.909,-59.4963884623035,-35.93060237999016,-84
2023/02/17 07:09:58.048,-51.769576718087656,-24.305080888950346,-84
2023/02/17 07:09:58.281,-47.82959126859787,-27.86765881050098,-84
